anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
ship,haar,boat,2,0.10,0.9998,33.732,0.2081,1.000
ship,haar,boat,2,0.20,0.9983,24.765,0.5819,1.000
ship,haar,boat,2,0.30,0.9947,19.735,1.0376,1.000
ship,haar,boat,2,0.40,0.9871,15.914,1.6105,1.000
ship,haar,boat,2,0.50,0.9738,12.880,2.2858,1.000
ship,haar,verb,2,0.10,0.9997,32.776,0.2238,1.000
ship,haar,verb,2,0.20,0.9980,23.977,0.6172,1.000
ship,haar,verb,2,0.30,0.9935,18.888,1.1125,1.000
ship,haar,verb,2,0.40,0.9849,15.250,1.6873,1.000
ship,haar,verb,2,0.50,0.9704,12.343,2.3555,1.000
