token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,sym4,0.10,0.9999,35.683,0.0165,0.000,0.0001
2,sym4,0.20,0.9986,25.625,0.0524,0.000,0.0014
2,sym4,0.30,0.9950,20.003,0.1002,0.000,0.0050
2,sym4,0.40,0.9878,16.167,0.1558,0.000,0.0122
2,sym4,0.50,0.9738,12.867,0.2278,0.000,0.0262
##s,sym4,0.10,0.9999,35.857,0.0165,0.000,0.0001
##s,sym4,0.20,0.9984,24.826,0.0588,0.000,0.0016
##s,sym4,0.30,0.9942,19.337,0.1107,0.000,0.0058
##s,sym4,0.40,0.9853,15.357,0.1750,0.000,0.0147
##s,sym4,0.50,0.9706,12.376,0.2467,0.000,0.0294
happy,sym4,0.10,0.9998,33.183,0.0228,0.000,0.0002
happy,sym4,0.20,0.9980,23.894,0.0666,0.000,0.0020
happy,sym4,0.30,0.9937,19.003,0.1169,0.000,0.0063
happy,sym4,0.40,0.9853,15.355,0.1779,0.000,0.0147
happy,sym4,0.50,0.9720,12.578,0.2449,0.000,0.0280
million,sym4,0.10,0.9998,33.187,0.0261,0.000,0.0002
million,sym4,0.20,0.9982,24.474,0.0711,0.000,0.0018
million,sym4,0.30,0.9933,18.754,0.1373,0.000,0.0067
million,sym4,0.40,0.9833,14.792,0.2167,0.000,0.0167
million,sym4,0.50,0.9665,11.808,0.3055,0.000,0.0335
[SEP],sym4,0.10,0.9997,33.007,0.0171,0.053,0.0003
[SEP],sym4,0.20,0.9984,24.906,0.0435,0.053,0.0016
[SEP],sym4,0.30,0.9953,20.263,0.0743,0.000,0.0047
[SEP],sym4,0.40,0.9888,16.526,0.1142,0.053,0.0112
[SEP],sym4,0.50,0.9785,13.715,0.1579,0.053,0.0215
[PAD],sym4,0.10,0.9999,37.367,0.0157,0.000,0.0001
[PAD],sym4,0.20,0.9993,28.567,0.0433,0.000,0.0007
[PAD],sym4,0.30,0.9972,22.569,0.0863,0.000,0.0028
[PAD],sym4,0.40,0.9935,18.905,0.1316,0.000,0.0065
[PAD],sym4,0.50,0.9867,15.785,0.1885,0.053,0.0133
is,sym4,0.10,0.9999,35.640,0.0144,0.000,0.0001
is,sym4,0.20,0.9987,25.847,0.0445,0.000,0.0013
is,sym4,0.30,0.9951,20.120,0.0860,0.000,0.0049
is,sym4,0.40,0.9872,15.962,0.1388,0.000,0.0128
is,sym4,0.50,0.9722,12.602,0.2043,0.000,0.0278
queen,sym4,0.10,0.9998,33.035,0.0244,0.000,0.0002
queen,sym4,0.20,0.9980,23.924,0.0698,0.000,0.0020
queen,sym4,0.30,0.9940,19.195,0.1202,0.000,0.0060
queen,sym4,0.40,0.9849,15.225,0.1899,0.000,0.0151
queen,sym4,0.50,0.9693,12.179,0.2697,0.000,0.0307
?,sym4,0.10,0.9999,35.730,0.0147,0.000,0.0001
?,sym4,0.20,0.9987,26.000,0.0450,0.000,0.0013
?,sym4,0.30,0.9954,20.334,0.0865,0.000,0.0046
?,sym4,0.40,0.9880,16.210,0.1390,0.000,0.0120
?,sym4,0.50,0.9754,13.127,0.1982,0.000,0.0246
1,sym4,0.10,0.9998,34.139,0.0193,0.000,0.0002
1,sym4,0.20,0.9984,24.890,0.0560,0.000,0.0016
1,sym4,0.30,0.9946,19.705,0.1017,0.000,0.0054
1,sym4,0.40,0.9869,15.839,0.1587,0.000,0.0131
1,sym4,0.50,0.9732,12.764,0.2261,0.000,0.0268
sad,sym4,0.10,0.9998,34.228,0.0234,0.000,0.0002
sad,sym4,0.20,0.9984,24.926,0.0684,0.000,0.0016
sad,sym4,0.30,0.9951,20.073,0.1195,0.000,0.0049
sad,sym4,0.40,0.9878,16.156,0.1877,0.000,0.0122
sad,sym4,0.50,0.9753,13.117,0.2663,0.053,0.0247
",",sym4,0.10,0.9998,34.147,0.0165,0.000,0.0002
",",sym4,0.20,0.9984,25.045,0.0472,0.000,0.0016
",",sym4,0.30,0.9952,20.154,0.0829,0.000,0.0048
",",sym4,0.40,0.9878,16.165,0.1311,0.000,0.0122
",",sym4,0.50,0.9754,13.133,0.1859,0.000,0.0246
100,sym4,0.10,0.9998,34.582,0.0211,0.053,0.0002
100,sym4,0.20,0.9988,26.230,0.0551,0.053,0.0012
100,sym4,0.30,0.9959,20.851,0.1024,0.053,0.0041
100,sym4,0.40,0.9895,16.802,0.1632,0.053,0.0105
100,sym4,0.50,0.9792,13.850,0.2293,0.053,0.0208
thousand,sym4,0.10,0.9997,32.923,0.0272,0.000,0.0003
thousand,sym4,0.20,0.9979,23.800,0.0776,0.000,0.0021
thousand,sym4,0.30,0.9932,18.711,0.1395,0.000,0.0068
thousand,sym4,0.40,0.9832,14.764,0.2197,0.000,0.0168
thousand,sym4,0.50,0.9662,11.769,0.3102,0.000,0.0338
man,sym4,0.10,0.9998,35.209,0.0176,0.000,0.0002
man,sym4,0.20,0.9986,25.465,0.0539,0.000,0.0014
man,sym4,0.30,0.9949,19.904,0.1023,0.000,0.0051
man,sym4,0.40,0.9872,15.947,0.1614,0.000,0.0128
