anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
pen,coif2,enclosure,2,0.10,1.0000,60.573,0.2149,1.000
pen,coif2,enclosure,2,0.20,1.0000,51.989,0.5771,1.000
pen,coif2,enclosure,2,0.30,1.0000,46.382,1.0967,1.000
pen,coif2,enclosure,2,0.40,1.0000,42.261,1.7615,1.000
pen,coif2,enclosure,2,0.50,0.9999,39.271,2.4844,1.000
pen,coif2,writing,2,0.10,1.0000,60.493,0.2333,1.000
pen,coif2,writing,2,0.20,1.0000,51.091,0.6854,1.000
pen,coif2,writing,2,0.30,1.0000,45.422,1.3153,1.000
pen,coif2,writing,2,0.40,1.0000,41.267,2.1225,1.000
pen,coif2,writing,2,0.50,0.9999,38.056,3.0714,1.000
