layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,5,0,0,1
0,1,1,0,0,1
0,2,0,5,4,5
0,3,2,5,1,0
0,4,1,0,0,1
0,5,1,0,0,3
0,6,1,0,0,1
0,7,1,0,0,3
0,8,2,2,2,2
0,9,1,0,0,0
0,10,0,5,4,4
0,11,1,0,0,1
1,0,0,3,4,4
1,1,2,5,4,1
1,2,2,2,2,0
1,3,2,2,2,0
1,4,1,0,0,1
1,5,1,2,2,0
1,6,1,0,0,1
1,7,1,2,2,0
1,8,1,0,0,0
1,9,0,3,4,4
1,10,2,2,2,1
1,11,2,2,2,2
2,0,2,2,1,1
2,1,1,0,0,1
2,2,2,2,2,1
2,3,4,1,5,1
2,4,5,0,0,1
2,5,2,5,4,1
2,6,2,5,4,1
2,7,2,5,1,0
2,8,2,2,2,2
2,9,2,2,2,1
2,10,2,2,2,1
2,11,2,5,4,1
3,0,2,2,2,0
3,1,2,5,4,2
3,2,2,5,1,1
3,3,2,5,1,0
3,4,0,5,4,0
3,5,1,0,0,0
3,6,4,1,5,1
3,7,4,1,5,1
3,8,2,2,3,2
3,9,2,5,1,0
3,10,2,5,4,1
3,11,2,5,1,1
4,0,2,5,1,1
4,1,2,5,1,2
4,2,2,2,2,0
4,3,2,5,1,0
4,4,4,1,5,1
4,5,1,0,0,0
4,6,4,1,5,1
4,7,2,5,1,2
4,8,2,2,2,0
4,9,4,1,5,1
4,10,1,0,0,2
4,11,2,2,2,0
5,0,3,4,5,3
5,1,3,4,3,3
5,2,2,2,3,3
5,3,3,4,3,3
5,4,3,4,3,3
5,5,3,4,3,3
5,6,3,4,5,3
5,7,3,4,3,3
5,8,2,2,3,3
5,9,2,2,3,3
5,10,2,2,3,3
5,11,3,4,5,3
