i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,device,animal,N,0.9953,0.9954,925.3931,28737.8152
0,2,device,device,Y,0.9967,0.9965,723.8715,22498.1544
0,3,device,animal,N,0.9984,0.9983,862.8837,27064.2229
1,2,animal,device,N,0.9985,0.9982,201.5217,6239.6608
1,3,animal,animal,Y,0.9967,0.9968,62.5094,1673.5924
2,3,device,animal,N,0.9976,0.9973,139.0122,4566.0685
