sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
animal,2,53452.8964,1687.8810,51765.0154,6.6377,0.8585,0.0326
device,2,70637.0409,2220.0837,68416.9572,6.4837,0.8683,0.0325
