sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
illumination,2,52035.1303,1640.9945,50394.1358,6.7576,0.8556,0.0326
weight,2,60727.3869,1903.4253,58823.9616,6.5846,0.8631,0.0324
