sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
bird,2,120.8793,5.3172,108.5958,9.5508,0.4222,0.0490
machine,2,105.2399,6.1103,93.0874,9.5402,0.4238,0.0657
