i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.9971,0.9966,115.8518,422.7465
0,2,factory,factory,Y,0.9975,0.9965,209.2528,3952.6467
0,3,factory,factory,Y,0.9989,0.9987,373.5324,6106.0383
0,4,factory,organism,N,0.9961,0.9956,464.1320,5792.6962
1,2,organism,factory,N,0.9982,0.9981,93.4011,3529.9002
1,3,organism,factory,N,0.9971,0.9969,257.6807,5683.2918
1,4,organism,organism,Y,0.9976,0.9976,348.2803,5369.9498
2,3,factory,factory,Y,0.9982,0.9975,164.2796,2153.3916
2,4,factory,organism,N,0.9973,0.9972,254.8792,1840.0496
3,4,factory,organism,N,0.9957,0.9956,90.5996,313.3420
