sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
sound,2,135.3840,17.9388,117.4452,9.5282,0.4346,0.1531
tree,2,136.3723,18.2191,118.1531,9.5253,0.4387,0.1541
