layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,5.04404,4.45003,0.59402,29.9601,7.0002,1.2597,0.5875,0.05711,1.9720
1,12,6.75809,5.90992,0.84817,8.7407,6.5701,1.4076,0.6903,0.03803,1.1055
2,12,8.54754,7.63510,0.91244,9.7032,6.6762,1.3557,0.6729,0.04214,1.1055
3,12,5.76200,5.09962,0.66237,9.0283,6.8300,1.4123,0.6505,0.04005,1.7321
4,12,7.88417,6.80551,1.07867,9.0060,6.5328,1.4619,0.7005,0.03478,0.0000
5,12,9.04864,7.61042,1.43821,5.5320,6.2105,1.5873,0.7582,0.02198,0.0000
6,12,8.47794,7.38598,1.09196,7.4481,6.4681,1.4794,0.7305,0.01999,0.0000
7,12,9.82509,8.08536,1.73974,5.4453,6.0979,1.5819,0.7748,0.01549,0.0000
8,12,8.42117,7.00711,1.41406,6.9768,6.1594,1.5749,0.7482,0.02648,1.4907
9,12,7.28998,6.03025,1.25973,5.6195,6.2751,1.6144,0.7382,0.02561,1.4907
10,12,6.61240,4.47905,2.13335,2.9045,6.5944,1.7152,0.6879,0.03261,1.7321
11,12,8.17184,4.46547,3.70637,1.4106,5.9232,1.7948,0.7887,0.01551,0.8660
