layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.39988,3.85217,0.54771,17.8497,6.9289,1.3726,0.6104,0.05014,1.8856
1,12,6.18899,5.36537,0.82363,8.1516,6.5377,1.4454,0.6907,0.03754,1.7321
2,12,8.31383,7.28701,1.02682,7.3944,6.5500,1.4181,0.6958,0.03972,0.0000
3,12,5.82127,5.17522,0.64606,9.3976,6.8462,1.3698,0.6498,0.03566,1.1055
4,12,7.18120,6.22322,0.95798,9.3765,6.6525,1.4150,0.6841,0.03737,1.1055
5,12,8.39274,7.17451,1.21823,6.1570,6.4061,1.5074,0.7318,0.02785,0.0000
6,12,8.17124,7.05302,1.11822,7.0313,6.4858,1.4563,0.7250,0.02744,0.0000
7,12,8.82977,7.42672,1.40304,7.1309,6.3672,1.4929,0.7374,0.02822,0.0000
8,12,7.72664,6.50138,1.22526,6.2939,6.4170,1.5216,0.7192,0.03538,0.0000
9,12,6.86902,5.82204,1.04698,6.1946,6.5450,1.5115,0.6965,0.04270,0.0000
10,12,12.36451,8.42807,3.93644,2.6841,6.3694,1.4899,0.7373,0.03155,1.1055
11,12,15.95979,10.51164,5.44815,2.2864,5.9640,1.4436,0.7888,0.02895,0.0000
