i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.5553,0.5307,0.4448,11.3456
0,2,money,money,Y,0.8310,0.8227,2.0071,1.0350
0,3,money,river,N,0.6773,0.6616,2.9197,18.6259
0,4,money,money,Y,0.8797,0.8724,0.9772,4.3798
0,5,money,river,N,0.5634,0.5394,0.7925,19.3827
1,2,river,money,N,0.6526,0.6370,2.4519,10.3107
1,3,river,river,Y,0.8242,0.8180,3.3645,29.9715
1,4,river,money,N,0.5492,0.5283,1.4220,6.9659
1,5,river,river,Y,0.9047,0.9014,0.3477,8.0371
2,3,money,river,N,0.7456,0.7349,0.9126,19.6608
2,4,money,money,Y,0.8136,0.8068,1.0299,3.3448
2,5,money,river,N,0.6496,0.6328,2.7995,18.3477
3,4,river,money,N,0.6363,0.6187,1.9424,23.0056
3,5,river,river,Y,0.8052,0.8019,3.7121,38.0085
4,5,money,river,N,0.5615,0.5424,1.7697,15.0029
