sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
money,3,139.1248,9.3042,119.2924,9.5251,0.4400,0.0780
river,3,139.3082,9.7382,121.5216,9.5447,0.4296,0.0797
