layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.36155,9.14437,2.21719,3.7534,6.2635,1.7324,0.7558,0.00000,1.4907
1,12,8.93749,7.17855,1.75894,4.1504,6.0699,1.7076,0.7846,0.00000,0.0000
2,12,8.95350,7.15981,1.79369,4.0666,6.1967,1.7360,0.7630,0.00000,1.1055
3,12,10.69310,8.69560,1.99751,4.4759,5.9922,1.6645,0.7847,0.00000,0.0000
4,12,11.75920,9.55843,2.20077,4.4168,5.8794,1.6538,0.8029,0.00000,0.0000
5,12,12.02611,9.71099,2.31512,4.1868,5.4568,1.6779,0.8416,0.00000,0.0000
6,12,11.04334,8.75905,2.28429,3.8082,5.5152,1.7236,0.8372,0.00000,0.0000
7,12,12.15630,9.75685,2.39945,4.0596,5.3506,1.6870,0.8521,0.00000,0.0000
8,12,11.11336,8.82346,2.28990,3.8739,5.5861,1.7128,0.8315,0.00000,0.0000
9,12,12.70792,9.98494,2.72298,3.7880,5.1616,1.7131,0.8685,0.00000,0.0000
10,12,13.14687,10.43800,2.70887,3.9067,5.0841,1.6922,0.8759,0.00000,0.0000
11,12,11.73580,9.23242,2.50338,3.6406,5.4103,1.7220,0.8369,0.00000,1.1055
