token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,coif2,0.10,0.9998,33.936,0.0573,0.000,0.0002
2,coif2,0.20,0.9979,23.856,0.1828,0.000,0.0021
2,coif2,0.30,0.9935,18.897,0.3236,0.000,0.0065
2,coif2,0.40,0.9842,15.050,0.5038,0.000,0.0158
2,coif2,0.50,0.9662,11.769,0.7351,0.000,0.0338
happy,coif2,0.10,0.9997,32.426,0.0959,0.000,0.0003
happy,coif2,0.20,0.9981,24.292,0.2446,0.000,0.0019
happy,coif2,0.30,0.9925,18.280,0.4887,0.000,0.0075
happy,coif2,0.40,0.9814,14.328,0.7702,0.000,0.0186
happy,coif2,0.50,0.9642,11.524,1.0636,0.000,0.0358
million,coif2,0.10,0.9998,33.854,0.0786,0.000,0.0002
million,coif2,0.20,0.9982,24.476,0.2313,0.000,0.0018
million,coif2,0.30,0.9938,19.057,0.4315,0.000,0.0062
million,coif2,0.40,0.9826,14.612,0.7199,0.000,0.0174
million,coif2,0.50,0.9632,11.410,1.0407,0.000,0.0368
is,coif2,0.10,0.9998,33.836,0.0701,0.053,0.0002
is,coif2,0.20,0.9982,24.420,0.2074,0.053,0.0018
is,coif2,0.30,0.9939,19.128,0.3813,0.053,0.0061
is,coif2,0.40,0.9842,15.042,0.6104,0.053,0.0158
is,coif2,0.50,0.9671,11.887,0.8777,0.053,0.0329
?,coif2,0.10,0.9997,32.767,0.0723,0.000,0.0003
?,coif2,0.20,0.9980,23.930,0.1999,0.000,0.0020
?,coif2,0.30,0.9938,19.103,0.3484,0.000,0.0062
?,coif2,0.40,0.9855,15.414,0.5328,0.053,0.0145
?,coif2,0.50,0.9699,12.273,0.7649,0.053,0.0301
1,coif2,0.10,0.9998,33.478,0.0612,0.000,0.0002
1,coif2,0.20,0.9982,24.368,0.1747,0.000,0.0018
1,coif2,0.30,0.9938,19.057,0.3220,0.000,0.0062
1,coif2,0.40,0.9854,15.376,0.4919,0.000,0.0146
1,coif2,0.50,0.9693,12.184,0.7103,0.000,0.0307
",",coif2,0.10,0.9999,36.944,0.0438,0.000,0.0001
",",coif2,0.20,0.9993,28.681,0.1133,0.000,0.0007
",",coif2,0.30,0.9976,23.230,0.2122,0.000,0.0024
",",coif2,0.40,0.9945,19.597,0.3224,0.000,0.0055
",",coif2,0.50,0.9893,16.712,0.4494,0.000,0.0107
100,coif2,0.10,0.9998,33.895,0.0634,0.053,0.0002
100,coif2,0.20,0.9983,24.740,0.1819,0.053,0.0017
100,coif2,0.30,0.9940,19.192,0.3445,0.053,0.0060
100,coif2,0.40,0.9851,15.294,0.5396,0.053,0.0149
100,coif2,0.50,0.9699,12.263,0.7649,0.053,0.0301
man,coif2,0.10,0.9997,32.768,0.0820,0.000,0.0003
man,coif2,0.20,0.9978,23.662,0.2338,0.000,0.0022
man,coif2,0.30,0.9927,18.369,0.4301,0.000,0.0073
man,coif2,0.40,0.9815,14.354,0.6828,0.000,0.0185
man,coif2,0.50,0.9621,11.291,0.9715,0.000,0.0379
city,coif2,0.10,0.9998,34.431,0.0746,0.000,0.0002
city,coif2,0.20,0.9983,24.802,0.2260,0.000,0.0017
city,coif2,0.30,0.9938,19.060,0.4377,0.000,0.0062
city,coif2,0.40,0.9849,15.239,0.6796,0.000,0.0151
city,coif2,0.50,0.9687,12.099,0.9755,0.000,0.0313
read,coif2,0.10,0.9998,34.575,0.0715,0.000,0.0002
read,coif2,0.20,0.9983,24.711,0.2226,0.000,0.0017
read,coif2,0.30,0.9945,19.601,0.4009,0.000,0.0055
read,coif2,0.40,0.9853,15.363,0.6530,0.000,0.0147
read,coif2,0.50,0.9689,12.134,0.9470,0.000,0.0311
Ġand,coif2,0.10,0.9998,34.358,0.0499,0.000,0.0002
Ġand,coif2,0.20,0.9988,26.076,0.1293,0.000,0.0012
Ġand,coif2,0.30,0.9960,20.975,0.2327,0.000,0.0040
Ġand,coif2,0.40,0.9908,17.386,0.3517,0.000,0.0092
Ġand,coif2,0.50,0.9807,14.186,0.5085,0.000,0.0193
the,coif2,0.10,0.9997,32.648,0.0698,0.000,0.0003
the,coif2,0.20,0.9982,24.532,0.1778,0.000,0.0018
the,coif2,0.30,0.9939,19.148,0.3305,0.000,0.0061
the,coif2,0.40,0.9840,14.970,0.5346,0.000,0.0160
the,coif2,0.50,0.9667,11.845,0.7662,0.000,0.0333
it,coif2,0.10,0.9997,32.884,0.0776,0.000,0.0003
it,coif2,0.20,0.9978,23.592,0.2261,0.000,0.0022
it,coif2,0.30,0.9924,18.172,0.4220,0.000,0.0076
it,coif2,0.40,0.9816,14.391,0.6521,0.000,0.0184
it,coif2,0.50,0.9644,11.551,0.9044,0.000,0.0356
king,coif2,0.10,0.9997,32.447,0.0991,0.053,0.0003
king,coif2,0.20,0.9979,23.716,0.2707,0.053,0.0021
king,coif2,0.30,0.9924,18.226,0.5093,0.053,0.0076
king,coif2,0.40,0.9811,14.259,0.8041,0.053,0.0189
king,coif2,0.50,0.9608,11.147,1.1506,0.053,0.0392
computer,coif2,0.10,0.9998,34.731,0.0700,0.000,0.0002
computer,coif2,0.20,0.9984,25.018,0.2141,0.000,0.0016
computer,coif2,0.30,0.9937,19.033,0.4265,0.000,0.0063
computer,coif2,0.40,0.9857,15.466,0.6431,0.000,0.0143
computer,coif2,0.50,0.9689,12.126,0.9447,0.000,0.0311
apple,coif2,0.10,0.9997,32.800,0.1037,0.053,0.0003
apple,coif2,0.20,0.9979,23.847,0.2906,0.053,0.0021
apple,coif2,0.30,0.9927,18.394,0.5444,0.053,0.0073
apple,coif2,0.40,0.9816,14.388,0.8633,0.053,0.0184
apple,coif2,0.50,0.9628,11.361,1.2233,0.053,0.0372
language,coif2,0.10,0.9997,32.614,0.0968,0.000,0.0003
language,coif2,0.20,0.9980,23.892,0.2641,0.000,0.0020
language,coif2,0.30,0.9929,18.516,0.4904,0.000,0.0071
language,coif2,0.40,0.9829,14.708,0.7603,0.000,0.0171
language,coif2,0.50,0.9666,11.832,1.0587,0.000,0.0334
orange,coif2,0.10,0.9997,32.515,0.0920,0.000,0.0003
orange,coif2,0.20,0.9978,23.527,0.2589,0.000,0.0022
orange,coif2,0.30,0.9924,18.199,0.4781,0.000,0.0076
orange,coif2,0.40,0.9819,14.461,0.7352,0.000,0.0181
orange,coif2,0.50,0.9635,11.443,1.0407,0.000,0.0365
for,coif2,0.10,0.9998,33.116,0.0721,0.000,0.0002
for,coif2,0.20,0.9980,24.042,0.2049,0.000,0.0020
for,coif2,0.30,0.9924,18.182,0.4022,0.000,0.0076
for,coif2,0.40,0.9804,14.100,0.6435,0.000,0.0196
for,coif2,0.50,0.9622,11.296,0.8887,0.000,0.0378
write,coif2,0.10,0.9996,31.438,0.1069,0.000,0.0004
write,coif2,0.20,0.9975,22.955,0.2838,0.000,0.0025
write,coif2,0.30,0.9920,17.977,0.5035,0.000,0.0080
write,coif2,0.40,0.9812,14.300,0.7688,0.000,0.0188
write,coif2,0.50,0.9615,11.218,1.0963,0.000,0.0385
woman,coif2,0.10,0.9998,33.108,0.0909,0.000,0.0002
woman,coif2,0.20,0.9978,23.639,0.2705,0.000,0.0022
woman,coif2,0.30,0.9925,18.281,0.5013,0.000,0.0075
woman,coif2,0.40,0.9814,14.345,0.7887,0.000,0.0186
woman,coif2,0.50,0.9629,11.376,1.1101,0.000,0.0371
tall,coif2,0.10,0.9998,33.765,0.0859,0.053,0.0002
tall,coif2,0.20,0.9981,24.198,0.2585,0.053,0.0019
