i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.9971,0.9966,91.9019,359.5610
0,2,factory,factory,Y,0.9975,0.9965,198.2849,4106.4644
0,3,factory,factory,Y,0.9989,0.9987,244.5497,6643.6827
0,4,factory,organism,N,0.9961,0.9956,307.3815,6258.1801
1,2,organism,factory,N,0.9982,0.9981,106.3830,3746.9034
1,3,organism,factory,N,0.9971,0.9969,152.6478,6284.1217
1,4,organism,organism,Y,0.9976,0.9976,215.4796,5898.6192
2,3,factory,factory,Y,0.9982,0.9975,46.2648,2537.2183
2,4,factory,organism,N,0.9973,0.9972,109.0965,2151.7157
3,4,factory,organism,N,0.9957,0.9956,62.8318,385.5025
