sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
factory,3,62429.6737,1986.7940,60442.8797,6.5594,0.8686,0.0329
organism,2,62652.1554,1934.7639,60717.3915,6.5167,0.8688,0.0319
