i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.9971,0.9966,228.3072,95.0197
0,2,factory,factory,Y,0.9975,0.9965,615.8867,3279.7757
0,3,factory,factory,Y,0.9989,0.9987,752.6371,5647.5992
0,4,factory,organism,N,0.9961,0.9956,816.3255,5459.8468
1,2,organism,factory,N,0.9982,0.9981,387.5795,3184.7560
1,3,organism,factory,N,0.9971,0.9969,524.3299,5552.5794
1,4,organism,organism,Y,0.9976,0.9976,588.0183,5364.8271
2,3,factory,factory,Y,0.9982,0.9975,136.7504,2367.8234
2,4,factory,organism,N,0.9973,0.9972,200.4388,2180.0711
3,4,factory,organism,N,0.9957,0.9956,63.6884,187.7523
