sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
bird,2,120.8793,5.8220,107.2176,9.5428,0.4285,0.0544
machine,2,105.2399,6.3462,89.9858,9.5228,0.4349,0.0708
