layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.34448,5.97781,4.36667,2.2259,6.7854,0.0000,0.6682,0.03195,0.4330
1,12,8.92423,5.19308,3.73115,1.5040,6.5494,0.0000,0.7136,0.02160,0.2764
2,12,9.42942,5.65675,3.77267,1.6580,6.6274,0.0000,0.6962,0.02562,0.0000
3,12,10.59719,5.87438,4.72281,1.3549,6.5260,0.0000,0.7087,0.02501,0.2764
4,12,11.78184,6.19491,5.58694,1.1992,6.4203,0.0000,0.7303,0.02217,0.3727
5,12,11.95344,6.41590,5.53755,1.2051,5.9984,0.0000,0.7941,0.01040,0.0000
6,12,11.16901,6.14341,5.02561,1.2844,6.0980,0.0000,0.7766,0.01165,0.0000
7,12,12.63744,6.66899,5.96846,1.1344,5.9088,0.0000,0.8044,0.00891,0.0000
8,12,11.94682,6.32330,5.62352,1.1330,6.0970,0.0000,0.7843,0.01024,0.0000
9,12,13.29199,6.95783,6.33417,1.1042,5.8485,0.0000,0.8127,0.00865,0.0000
10,12,13.19064,6.95283,6.23781,1.1190,5.8767,0.0000,0.8111,0.00703,0.0000
11,12,12.07083,6.68859,5.38224,1.3997,6.0482,0.0000,0.7825,0.01396,0.0000
