i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,boat,verb,N,0.9981,0.9979,76.6625,339.0621
0,2,boat,boat,Y,0.9987,0.9984,1.4637,782.3383
0,3,boat,verb,N,0.9977,0.9973,611.8687,10941.7497
1,2,verb,boat,N,0.9987,0.9985,75.1988,1121.4004
1,3,verb,verb,Y,0.9990,0.9988,535.2062,10602.6876
2,3,boat,verb,N,0.9987,0.9985,610.4050,11724.0880
