i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,sound,tree,N,0.9957,0.9954,188.1760,4117.2690
0,2,sound,sound,Y,0.9993,0.9991,457.5458,8488.2368
0,3,sound,tree,N,0.9950,0.9939,46.1019,2215.9959
1,2,tree,sound,N,0.9962,0.9961,269.3699,4370.9677
1,3,tree,tree,Y,0.9979,0.9971,142.0740,1901.2731
2,3,sound,tree,N,0.9958,0.9951,411.4439,6272.2409
