sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
sound,2,53781.2846,2627.1118,48118.8013,7.2409,0.8454,0.0546
tree,2,55155.5811,2738.7458,49196.2872,7.2639,0.8391,0.0557
