li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
6,4,4,10,0.9686,0.9671,0.9948,0.9665,0.0373
6,4,4,11,0.3179,0.4859,0.7873,0.2171,0.0502
6,4,5,0,0.9696,0.9641,0.9933,0.9678,0.0370
6,4,5,1,0.9539,0.9488,0.9946,0.9527,0.0502
6,4,5,2,0.8830,0.9213,0.9854,0.8575,0.0230
6,4,5,3,0.9453,0.9405,0.9854,0.9338,0.0181
6,4,5,4,0.9034,0.9051,0.9996,0.8824,0.0252
6,4,5,5,0.9623,0.9613,0.9970,0.9601,0.0408
6,4,5,6,0.9602,0.9663,1.0000,0.9531,0.0217
6,4,5,7,0.9488,0.9431,0.9990,0.9392,0.0157
6,4,5,8,0.9606,0.9593,0.9993,0.9542,0.0224
6,4,5,9,0.9651,0.9598,0.9955,0.9629,0.0406
6,4,5,10,0.8985,0.9159,0.9851,0.8771,0.0165
6,4,5,11,0.9648,0.9735,0.9999,0.9584,0.0148
6,4,6,0,0.8405,0.8751,0.9920,0.8043,0.0406
6,4,6,1,0.9415,0.9603,0.9999,0.9320,0.0221
6,4,6,2,0.9790,0.9749,0.9971,0.9765,0.0249
6,4,6,3,0.9121,0.9399,0.9966,0.8932,0.0251
6,4,6,4,1.0000,1.0000,1.0000,1.0000,0.0000
6,4,6,5,0.9825,0.9817,0.9994,0.9793,0.0114
6,4,6,6,0.9669,0.9743,0.9987,0.9612,0.0159
6,4,6,7,0.9396,0.9505,0.9840,0.9271,0.0187
6,4,6,8,0.9383,0.9602,0.9973,0.9255,0.0183
6,4,6,9,0.9549,0.9505,0.9946,0.9536,0.0498
6,4,6,10,0.9640,0.9615,0.9959,0.9617,0.0408
6,4,6,11,0.9675,0.9681,0.9998,0.9611,0.0127
6,4,7,0,0.9425,0.9428,0.9987,0.9325,0.0205
6,4,7,1,0.9588,0.9587,0.9940,0.9559,0.0413
6,4,7,2,0.9541,0.9491,0.9946,0.9528,0.0502
6,4,7,3,0.9508,0.9649,0.9991,0.9408,0.0084
6,4,7,4,0.9481,0.9575,0.9998,0.9405,0.0248
6,4,7,5,0.9751,0.9740,0.9999,0.9708,0.0160
6,4,7,6,0.9710,0.9722,0.9963,0.9680,0.0298
6,4,7,7,0.9580,0.9539,0.9955,0.9561,0.0476
6,4,7,8,0.9041,0.8946,0.9934,0.8857,0.0130
6,4,7,9,0.9731,0.9787,0.9997,0.9693,0.0216
6,4,7,10,0.9545,0.9501,0.9946,0.9530,0.0502
6,4,7,11,0.9564,0.9521,0.9951,0.9548,0.0489
6,4,8,0,0.9670,0.9725,0.9996,0.9628,0.0271
6,4,8,1,0.9555,0.9511,0.9948,0.9539,0.0490
6,4,8,2,0.9646,0.9716,0.9989,0.9574,0.0079
6,4,8,3,0.9699,0.9608,0.9873,0.9667,0.0300
6,4,8,4,0.9355,0.9398,1.0000,0.9223,0.0152
6,4,8,5,0.9367,0.9349,0.9910,0.9238,0.0284
6,4,8,6,0.9489,0.9567,0.9963,0.9426,0.0308
6,4,8,7,0.9515,0.9485,0.9999,0.9432,0.0205
6,4,8,8,0.8564,0.8878,0.9861,0.8266,0.0170
6,4,8,9,0.9624,0.9659,0.9952,0.9571,0.0244
6,4,8,10,0.9792,0.9828,0.9982,0.9749,0.0076
6,4,8,11,0.9745,0.9754,0.9950,0.9710,0.0217
6,4,9,0,0.9726,0.9789,0.9914,0.9691,0.0241
6,4,9,1,0.9571,0.9525,0.9947,0.9555,0.0481
6,4,9,2,0.9592,0.9570,0.9949,0.9575,0.0468
6,4,9,3,0.9509,0.9555,0.9999,0.9408,0.0170
6,4,9,4,0.9574,0.9532,0.9952,0.9553,0.0456
6,4,9,5,0.9813,0.9773,0.9948,0.9801,0.0295
6,4,9,6,0.9543,0.9500,0.9947,0.9529,0.0497
6,4,9,7,0.9726,0.9738,0.9919,0.9688,0.0211
6,4,9,8,0.9614,0.9604,0.9948,0.9586,0.0395
6,4,9,9,0.9546,0.9496,0.9946,0.9533,0.0500
6,4,9,10,0.9233,0.9185,0.9977,0.9074,0.0187
6,4,9,11,0.9565,0.9519,0.9947,0.9551,0.0490
6,4,10,0,0.9664,0.9662,0.9953,0.9639,0.0376
6,4,10,1,0.9557,0.9520,0.9955,0.9540,0.0487
6,4,10,2,0.9572,0.9547,0.9952,0.9552,0.0468
6,4,10,3,0.9623,0.9604,0.9942,0.9592,0.0383
6,4,10,4,0.9728,0.9749,0.9982,0.9695,0.0260
6,4,10,5,0.9284,0.9259,0.9960,0.9159,0.0233
6,4,10,6,0.9572,0.9531,0.9955,0.9555,0.0481
6,4,10,7,0.9664,0.9645,0.9960,0.9634,0.0357
6,4,10,8,0.9582,0.9540,0.9957,0.9565,0.0473
6,4,10,9,0.8810,0.8365,0.9707,0.8600,0.0210
6,4,10,10,0.9550,0.9502,0.9949,0.9535,0.0495
6,4,10,11,0.9308,0.9239,0.9999,0.9217,0.0335
6,4,11,0,0.7769,0.7603,0.9981,0.7229,0.0532
6,4,11,1,0.9694,0.9640,0.9975,0.9662,0.0302
6,4,11,2,0.9594,0.9543,0.9971,0.9570,0.0441
6,4,11,3,0.9349,0.9606,0.9996,0.9211,0.0197
