token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,coif2,0.10,0.9998,34.969,0.0179,0.000,0.0002
2,coif2,0.20,0.9987,25.718,0.0519,0.000,0.0013
2,coif2,0.30,0.9950,20.010,0.1001,0.000,0.0050
2,coif2,0.40,0.9872,15.940,0.1599,0.000,0.0128
2,coif2,0.50,0.9742,12.934,0.2261,0.000,0.0258
##s,coif2,0.10,0.9998,33.853,0.0208,0.000,0.0002
##s,coif2,0.20,0.9986,25.556,0.0541,0.000,0.0014
##s,coif2,0.30,0.9949,19.889,0.1039,0.000,0.0051
##s,coif2,0.40,0.9867,15.782,0.1667,0.000,0.0133
##s,coif2,0.50,0.9735,12.818,0.2345,0.000,0.0265
happy,coif2,0.10,0.9998,34.218,0.0203,0.000,0.0002
happy,coif2,0.20,0.9984,24.913,0.0592,0.000,0.0016
happy,coif2,0.30,0.9943,19.426,0.1113,0.000,0.0057
happy,coif2,0.40,0.9866,15.763,0.1697,0.000,0.0134
happy,coif2,0.50,0.9736,12.826,0.2380,0.000,0.0264
million,coif2,0.10,0.9998,33.265,0.0258,0.000,0.0002
million,coif2,0.20,0.9981,24.137,0.0739,0.000,0.0019
million,coif2,0.30,0.9932,18.669,0.1387,0.000,0.0068
million,coif2,0.40,0.9847,15.170,0.2075,0.000,0.0153
million,coif2,0.50,0.9690,12.143,0.2939,0.000,0.0310
[SEP],coif2,0.10,0.9999,36.119,0.0120,0.000,0.0001
[SEP],coif2,0.20,0.9990,27.149,0.0336,0.000,0.0010
[SEP],coif2,0.30,0.9963,21.372,0.0654,0.000,0.0037
[SEP],coif2,0.40,0.9903,17.145,0.1064,0.000,0.0097
[SEP],coif2,0.50,0.9799,13.992,0.1529,0.000,0.0201
[PAD],coif2,0.10,0.9999,36.940,0.0165,0.000,0.0001
[PAD],coif2,0.20,0.9992,27.891,0.0468,0.000,0.0008
[PAD],coif2,0.30,0.9973,22.731,0.0847,0.000,0.0027
[PAD],coif2,0.40,0.9937,19.022,0.1299,0.053,0.0063
[PAD],coif2,0.50,0.9865,15.726,0.1898,0.053,0.0135
is,coif2,0.10,0.9998,34.567,0.0163,0.000,0.0002
is,coif2,0.20,0.9984,24.840,0.0499,0.000,0.0016
is,coif2,0.30,0.9943,19.415,0.0932,0.000,0.0057
is,coif2,0.40,0.9848,15.194,0.1516,0.000,0.0152
is,coif2,0.50,0.9690,12.150,0.2152,0.000,0.0310
queen,coif2,0.10,0.9998,34.040,0.0218,0.000,0.0002
queen,coif2,0.20,0.9983,24.742,0.0635,0.000,0.0017
queen,coif2,0.30,0.9947,19.728,0.1131,0.000,0.0053
queen,coif2,0.40,0.9860,15.571,0.1825,0.000,0.0140
queen,coif2,0.50,0.9704,12.345,0.2646,0.000,0.0296
?,coif2,0.10,0.9999,35.917,0.0144,0.000,0.0001
?,coif2,0.20,0.9990,27.022,0.0400,0.000,0.0010
?,coif2,0.30,0.9962,21.173,0.0785,0.000,0.0038
?,coif2,0.40,0.9898,16.908,0.1283,0.000,0.0102
?,coif2,0.50,0.9769,13.402,0.1921,0.000,0.0231
1,coif2,0.10,0.9998,34.649,0.0182,0.000,0.0002
1,coif2,0.20,0.9984,24.830,0.0564,0.000,0.0016
1,coif2,0.30,0.9949,19.956,0.0988,0.000,0.0051
1,coif2,0.40,0.9880,16.210,0.1521,0.000,0.0120
1,coif2,0.50,0.9750,13.063,0.2185,0.000,0.0250
sad,coif2,0.10,0.9999,36.232,0.0186,0.000,0.0001
sad,coif2,0.20,0.9990,26.872,0.0547,0.000,0.0010
sad,coif2,0.30,0.9957,20.666,0.1117,0.000,0.0043
sad,coif2,0.40,0.9891,16.622,0.1779,0.000,0.0109
