sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
sound,2,53781.2846,4470.5402,45746.0347,7.0718,0.8418,0.0977
tree,2,55155.5811,4661.5090,46869.2365,7.1009,0.8332,0.0995
