sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
bird,2,291.5830,15.4313,261.3714,9.5791,0.4190,0.0590
machine,2,237.9000,13.9323,207.3428,9.5659,0.4234,0.0673
