anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
ship,sym4,boat,2,0.10,0.9998,34.337,0.1929,1.000
ship,sym4,boat,2,0.20,0.9983,24.587,0.5928,1.000
ship,sym4,boat,2,0.30,0.9942,19.367,1.0813,1.000
ship,sym4,boat,2,0.40,0.9864,15.693,1.6507,1.000
ship,sym4,boat,2,0.50,0.9725,12.664,2.3391,1.000
ship,sym4,verb,2,0.10,0.9997,32.948,0.2221,1.000
ship,sym4,verb,2,0.20,0.9980,23.957,0.6221,1.000
ship,sym4,verb,2,0.30,0.9929,18.521,1.1615,1.000
ship,sym4,verb,2,0.40,0.9829,14.717,1.7962,1.000
ship,sym4,verb,2,0.50,0.9675,11.954,2.4687,1.000
