sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
enclosure,2,112.1411,12.0145,100.1266,9.5221,0.4343,0.1196
writing,2,125.7028,12.9470,112.7557,9.5161,0.4356,0.1149
