layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.64769,2.89956,1.74813,2.3005,7.2143,0.0000,0.5535,0.06324,0.0000
1,12,5.97139,3.76246,2.20893,2.1632,6.9625,0.0000,0.6150,0.04909,0.2764
2,12,7.64074,4.10221,3.53853,1.7121,7.0387,0.0000,0.6009,0.06131,0.3727
3,12,5.42463,3.37195,2.05268,2.1261,7.0932,0.0000,0.5919,0.05566,0.0000
4,12,7.38476,4.52028,2.86447,1.6392,6.8727,0.0000,0.6404,0.04815,0.2764
5,12,8.59970,5.28281,3.31689,1.6583,6.7155,0.0000,0.6757,0.03949,0.0000
6,12,8.41059,4.95631,3.45428,1.5378,6.8451,0.0000,0.6560,0.04483,0.3727
7,12,9.27364,5.75220,3.52144,1.6407,6.6310,0.0000,0.6895,0.03503,0.0000
8,12,7.57606,4.95357,2.62250,2.1411,6.7655,0.0000,0.6598,0.04062,0.0000
9,12,6.76561,4.48478,2.28083,2.1414,6.7655,0.0000,0.6544,0.04419,0.0000
10,12,10.80596,6.35336,4.45260,1.8470,6.7527,0.0000,0.6726,0.04361,0.0000
11,12,8.89493,7.12654,1.76839,4.2148,6.4087,0.0000,0.7317,0.02411,0.0000
