anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
light,db4,illumination,2,0.10,0.9997,32.693,0.2610,1.000
light,db4,illumination,2,0.20,0.9980,24.053,0.7056,1.000
light,db4,illumination,2,0.30,0.9934,18.814,1.2897,1.000
light,db4,illumination,2,0.40,0.9843,15.075,1.9837,1.000
light,db4,illumination,2,0.50,0.9702,12.308,2.7276,1.000
light,db4,weight,2,0.10,0.9998,33.584,0.2152,1.000
light,db4,weight,2,0.20,0.9983,24.783,0.5927,1.000
light,db4,weight,2,0.30,0.9949,19.914,1.0382,1.000
light,db4,weight,2,0.40,0.9870,15.874,1.6537,1.000
light,db4,weight,2,0.50,0.9727,12.694,2.3859,1.000
