anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
bark,haar,sound,2,0.10,1.0000,61.875,0.1788,1.000
bark,haar,sound,2,0.20,1.0000,51.945,0.5603,1.000
bark,haar,sound,2,0.30,1.0000,46.170,1.0894,1.000
bark,haar,sound,2,0.40,1.0000,42.609,1.6417,1.000
bark,haar,sound,2,0.50,0.9999,39.309,2.4004,1.000
bark,haar,tree,2,0.10,1.0000,59.280,0.2448,1.000
bark,haar,tree,2,0.20,1.0000,50.236,0.6874,1.000
bark,haar,tree,2,0.30,1.0000,45.107,1.2429,1.000
bark,haar,tree,2,0.40,1.0000,41.258,1.9353,1.000
bark,haar,tree,2,0.50,0.9999,38.291,2.7191,1.000
