anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
bank,sym4,money,3,0.10,0.9998,34.273,0.2024,1.000
bank,sym4,money,3,0.20,0.9983,24.774,0.6043,1.000
bank,sym4,money,3,0.30,0.9940,19.250,1.1403,1.000
bank,sym4,money,3,0.40,0.9853,15.363,1.7836,1.000
bank,sym4,money,3,0.50,0.9697,12.241,2.5550,1.000
bank,sym4,river,3,0.10,0.9998,34.603,0.1934,1.000
bank,sym4,river,3,0.20,0.9984,24.990,0.5864,1.000
bank,sym4,river,3,0.30,0.9943,19.465,1.1074,1.000
bank,sym4,river,3,0.40,0.9861,15.598,1.7284,1.000
bank,sym4,river,3,0.50,0.9701,12.302,2.5285,1.000
