layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.02386,5.69850,5.32535,1.4400,6.7071,0.0000,0.6882,0.03340,0.4330
1,12,8.56451,4.27893,4.28558,1.0756,6.5350,0.0000,0.7178,0.02216,0.4930
2,12,8.48840,4.28356,4.20483,1.1239,6.6632,0.0000,0.6889,0.02924,0.4930
3,12,9.93477,4.28796,5.64681,0.8325,6.4751,0.0000,0.7203,0.02385,0.3727
4,12,11.30738,4.66891,6.63846,0.7763,6.4406,0.0000,0.7241,0.02713,0.4330
5,12,11.62056,4.51529,7.10527,0.6758,6.0327,0.0000,0.7891,0.01132,0.2764
6,12,10.93094,4.54470,6.38624,0.7855,6.0272,0.0000,0.7895,0.01196,0.3727
7,12,11.92654,4.55655,7.36999,0.6452,5.9636,0.0000,0.7986,0.01078,0.0000
8,12,11.01917,4.61298,6.40618,0.7585,6.1031,0.0000,0.7813,0.01253,0.3727
9,12,12.61741,5.17819,7.43922,0.7503,5.8886,0.0000,0.8102,0.01016,0.2764
10,12,12.72124,5.01478,7.70646,0.6647,5.8911,0.0000,0.8134,0.00883,0.0000
11,12,11.43186,4.93470,6.49716,0.9770,5.9923,0.0000,0.7913,0.01347,0.3727
