sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
animal,2,53452.8964,4424.2258,45522.2994,7.0371,0.8440,0.0972
device,2,70637.0409,5891.6105,60018.8676,6.9211,0.8526,0.0982
