layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,5.61202,4.96866,0.64336,25.2729,6.9747,1.2819,0.5978,0.06067,1.8856
1,12,6.89133,6.02517,0.86617,9.1177,6.5422,1.4280,0.6931,0.03485,1.1055
2,12,8.58964,7.69130,0.89834,9.5512,6.6815,1.3511,0.6741,0.04274,1.1055
3,12,6.24079,5.52460,0.71619,8.2350,6.7423,1.4313,0.6729,0.03323,0.0000
4,12,8.00882,6.84569,1.16313,7.6005,6.4377,1.4998,0.7196,0.03030,1.1055
5,12,9.08385,7.66069,1.42316,5.5929,6.2244,1.5728,0.7590,0.02175,0.0000
6,12,8.81772,7.63253,1.18519,6.8175,6.4652,1.4738,0.7286,0.02579,0.0000
7,12,9.26986,7.64821,1.62165,5.3865,6.2477,1.5890,0.7533,0.02325,0.0000
8,12,8.41633,7.02426,1.39207,5.2285,6.2052,1.5948,0.7474,0.02858,0.0000
9,12,7.06799,5.88474,1.18325,5.4521,6.4083,1.5921,0.7121,0.03778,1.1055
10,12,13.54994,8.90959,4.64035,2.6208,6.2006,1.4926,0.7472,0.03154,1.1055
11,12,13.10853,7.34618,5.76235,1.3677,5.7909,1.6616,0.8142,0.01630,0.8660
