token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
language,haar,0.10,0.9997,32.269,0.1007,0.000,0.0003
language,haar,0.20,0.9976,23.118,0.2887,0.000,0.0024
language,haar,0.30,0.9920,17.952,0.5233,0.000,0.0080
language,haar,0.40,0.9808,14.199,0.8062,0.000,0.0192
language,haar,0.50,0.9611,11.173,1.1421,0.000,0.0389
orange,haar,0.10,0.9998,33.048,0.0865,0.000,0.0002
orange,haar,0.20,0.9980,24.021,0.2446,0.000,0.0020
orange,haar,0.30,0.9938,19.078,0.4321,0.000,0.0062
orange,haar,0.40,0.9840,14.976,0.6929,0.000,0.0160
orange,haar,0.50,0.9673,11.918,0.9853,0.000,0.0327
for,haar,0.10,0.9998,33.919,0.0657,0.000,0.0002
for,haar,0.20,0.9981,24.317,0.1985,0.000,0.0019
for,haar,0.30,0.9929,18.481,0.3886,0.000,0.0071
for,haar,0.40,0.9825,14.587,0.6084,0.000,0.0175
for,haar,0.50,0.9649,11.616,0.8566,0.000,0.0351
write,haar,0.10,0.9997,31.647,0.1044,0.000,0.0003
write,haar,0.20,0.9977,23.458,0.2679,0.000,0.0023
write,haar,0.30,0.9925,18.276,0.4864,0.000,0.0075
write,haar,0.40,0.9819,14.450,0.7556,0.000,0.0181
write,haar,0.50,0.9625,11.333,1.0819,0.000,0.0375
woman,haar,0.10,0.9998,33.376,0.0882,0.000,0.0002
woman,haar,0.20,0.9978,23.657,0.2700,0.000,0.0022
woman,haar,0.30,0.9930,18.561,0.4854,0.000,0.0070
woman,haar,0.40,0.9843,15.057,0.7266,0.000,0.0157
woman,haar,0.50,0.9673,11.911,1.0438,0.000,0.0327
tall,haar,0.10,0.9999,36.029,0.0662,0.053,0.0001
tall,haar,0.20,0.9983,24.732,0.2431,0.053,0.0017
tall,haar,0.30,0.9941,19.309,0.4539,0.053,0.0059
tall,haar,0.40,0.9842,15.026,0.7432,0.053,0.0158
tall,haar,0.50,0.9678,11.984,1.0548,0.053,0.0322
