i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.3954,0.3896,3.0384,31.8647
0,2,money,money,Y,0.7460,0.7488,6.4039,41.0309
0,3,money,river,N,0.5043,0.4974,1.6440,19.2921
0,4,money,money,Y,0.7589,0.7489,1.2310,18.1398
0,5,money,river,N,0.3880,0.3805,3.3523,7.5902
1,2,river,money,N,0.4802,0.4809,3.3655,9.1663
1,3,river,river,Y,0.7340,0.7281,4.6824,51.1568
1,4,river,money,N,0.3567,0.3515,4.2694,50.0045
1,5,river,river,Y,0.8532,0.8466,0.3138,24.2745
2,3,money,river,N,0.5237,0.5192,8.0479,60.3230
2,4,money,money,Y,0.6859,0.6861,7.6349,59.1708
2,5,money,river,N,0.4326,0.4272,3.0516,33.4407
3,4,river,money,N,0.4434,0.4295,0.4129,1.1523
3,5,river,river,Y,0.7347,0.7355,4.9962,26.8823
4,5,money,river,N,0.3714,0.3684,4.5833,25.7301
