sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
money,3,295.3698,19.7947,255.3379,9.5844,0.4149,0.0770
river,3,289.2155,19.6527,254.4284,9.5723,0.4217,0.0771
