token,index,energy,entropy,info_score
##anor,27869,5.4843,9.4379,17.6430
##lland,26087,5.4622,9.4025,17.5448
##lho,28061,5.3147,9.4528,17.4203
##lika,25421,5.0432,9.3806,16.8750
##adan,26335,4.9076,9.4149,16.7231
##gano,29451,4.7791,9.4581,16.5918
##khov,25495,4.7530,9.4644,16.5602
##stov,29473,4.8264,9.3835,16.5374
##vb,26493,4.7392,9.4580,16.5261
##oit,28100,4.6712,9.4871,16.4640
##anto,21634,4.6899,9.4626,16.4525
875,27658,4.9988,9.1505,16.3936
##elis,29282,4.6640,9.4320,16.3563
##oku,21940,4.6796,9.4169,16.3561
##coll,26895,4.6198,9.4530,16.3187
##pse,29251,4.6002,9.4614,16.3001
820,26667,4.8948,9.1834,16.2921
##nem,25832,4.6389,9.4017,16.2621
##eki,26576,4.6016,9.4202,16.2316
##jm,24703,4.5698,9.4329,16.1996
##lbert,23373,4.5838,9.4086,16.1815
##gart,27378,4.5537,9.4376,16.1804
##uet,23361,4.5515,9.4393,16.1796
##bola,24290,4.5213,9.4646,16.1714
329,29567,4.8752,9.1260,16.1598
451,28161,4.8059,9.1857,16.1566
##ieri,21939,4.5145,9.4608,16.1532
##eland,25689,4.5676,9.4080,16.1532
##lash,27067,4.5216,9.4503,16.1473
##hani,23573,4.6050,9.3467,16.1106
##encies,15266,4.4264,9.5225,16.1051
##alla,25425,4.5162,9.4232,16.0919
##sund,25168,4.4560,9.4718,16.0710
##litz,24725,4.4877,9.4364,16.0655
##iste,27870,4.4401,9.4808,16.0585
##icular,21412,4.4082,9.4963,16.0290
980,25195,4.6769,9.2257,16.0196
##iot,25185,4.3961,9.4882,15.9942
##sari,22740,4.4118,9.4712,15.9929
##anal,27953,4.4025,9.4631,15.9629
##rchy,29389,4.3900,9.4714,15.9550
##jad,27875,4.4359,9.4174,15.9440
##sell,23836,4.4049,9.4110,15.8792
##oning,13369,4.3022,9.5160,15.8738
##lston,21540,4.3528,9.4592,15.8689
##olt,27914,4.3848,9.4206,15.8603
##gist,24063,4.3217,9.4868,15.8599
##kong,25460,4.3541,9.4404,15.8396
##dim,22172,4.3551,9.4373,15.8362
417,27519,4.6658,9.1303,15.8361
##oper,25918,4.3003,9.4844,15.8177
amman,25703,4.3717,9.3888,15.7839
lucie,28831,4.3646,9.3945,15.7811
##icon,28524,4.2959,9.4666,15.7802
##aran,20486,4.2846,9.4763,15.7760
##uter,19901,4.3168,9.4417,15.7760
##sul,23722,4.3183,9.4396,15.7751
##bate,20179,4.2950,9.4604,15.7683
##igraphy,23132,4.2505,9.5082,15.7676
##hiff,25798,4.3242,9.4264,15.7634
##cter,21162,4.2474,9.5023,15.7522
##hema,28433,4.2826,9.4631,15.7507
##ucible,21104,4.2410,9.5035,15.7427
##pani,26569,4.2911,9.4463,15.7378
##ngo,16656,4.3222,9.4095,15.7315
##mble,19661,4.2711,9.4613,15.7269
##egan,20307,4.2442,9.4885,15.7236
##bino,21891,4.2380,9.4722,15.6854
##jic,25008,4.2665,9.4377,15.6795
##vitt,28656,4.2663,9.4329,15.6713
##otic,20214,4.2203,9.4714,15.6520
##ulio,24825,4.2430,9.4395,15.6402
##rka,22379,4.2475,9.4324,15.6366
##erik,27350,4.1805,9.5044,15.6338
268,25143,4.6163,9.0455,15.6096
##erry,19826,4.2006,9.4656,15.6066
##brick,25646,4.1877,9.4763,15.6006
##vati,20203,4.1738,9.4878,15.5942
##mme,20058,4.2186,9.4381,15.5941
##kshi,27488,4.2204,9.4362,15.5940
##nah,15272,4.1653,9.4921,15.5857
##vity,24872,4.1525,9.5038,15.5812
##lma,19145,4.1925,9.4586,15.5802
##ioned,19798,4.1554,9.4946,15.5716
##xin,20303,4.2116,9.4308,15.5691
##orus,21694,4.1792,9.4568,15.5531
##hre,28362,4.1761,9.4582,15.5498
##abia,29039,4.1297,9.5027,15.5374
##tura,27431,4.1741,9.4427,15.5208
##pta,22799,4.1649,9.4508,15.5172
##cao,20808,4.1477,9.4695,15.5162
##ratic,23671,4.1213,9.4878,15.4974
##cius,25393,4.1339,9.4724,15.4955
##tology,23479,4.1108,9.4815,15.4676
##rsa,22381,4.1128,9.4712,15.4546
##lley,25105,4.1704,9.4037,15.4497
##uda,14066,4.1379,9.4390,15.4483
##ssler,23385,4.1637,9.4092,15.4465
##jord,24876,4.0791,9.5016,15.4414
##lding,24573,4.1167,9.4488,15.4254
317,26628,4.5045,9.0430,15.4234
##amo,22591,4.1282,9.4194,15.3984
##ood,17139,4.0623,9.4878,15.3875
##wai,21547,4.0845,9.4609,15.3853
##kti,22462,4.0977,9.4376,15.3718
##you,29337,4.0702,9.4613,15.3593
##ining,24002,4.0551,9.4697,15.3445
242,22431,4.3379,9.1534,15.3304
248,24568,4.4068,9.0830,15.3290
##venor,26806,4.0482,9.4622,15.3196
##dara,25329,4.0868,9.4171,15.3183
##ckle,19250,4.0495,9.4506,15.3033
273,25371,4.3982,9.0745,15.3002
ю,1209,4.1132,9.3738,15.2964
##scan,29378,4.0347,9.4572,15.2863
##dication,25027,3.9929,9.4951,15.2684
##rse,22573,4.0429,9.4364,15.2679
##uchi,15217,4.0268,9.4549,15.2677
323,25392,4.3634,9.0882,15.2646
##upt,29441,4.0019,9.4801,15.2612
##church,22743,4.0392,9.4357,15.2599
##tec,26557,4.0132,9.4634,15.2557
##sos,17063,4.0058,9.4720,15.2556
##inian,15830,4.0009,9.4747,15.2507
##mere,13759,3.9829,9.4889,15.2392
##ginal,24965,3.9537,9.5195,15.2325
##mage,26860,3.9777,9.4802,15.2154
##ovo,16059,3.9857,9.4645,15.2053
##ested,17944,3.9230,9.5300,15.1901
##amine,19915,3.9710,9.4715,15.1887
knesset,27899,3.9495,9.4959,15.1866
gael,28151,3.9703,9.4641,15.1754
iata,9833,3.9204,9.5203,15.1696
##bilis,27965,3.9372,9.4905,15.1544
##rva,19146,3.9876,9.4256,15.1465
##ffe,16020,3.9481,9.4716,15.1451
##kor,21815,3.9691,9.4402,15.1348
##lent,16136,3.9297,9.4834,15.1286
##chenko,25872,3.9541,9.4535,15.1276
##sdale,15145,3.9462,9.4581,15.1199
##uw,25974,3.9641,9.4361,15.1189
##bourg,20431,3.9344,9.4704,15.1170
