category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
special,5,2.3308,0.1710,0.2989,1.8978,0.212,9.1185,0.649,24.146,0.545,1.941,10.095
adjective,10,1.6368,0.3849,0.4603,1.1074,0.421,9.5085,-1.212,6.809,0.441,1.406,9.182
noun,10,1.5546,0.3287,0.4006,1.0742,0.372,9.5222,-0.978,5.038,0.437,1.402,8.882
subword,2,1.4294,0.3206,0.3989,0.9727,0.415,9.5441,-1.057,6.202,0.424,1.378,8.466
verb,11,1.4116,0.2611,0.3219,1.0207,0.317,9.5321,-0.759,4.142,0.433,1.399,8.319
number,4,1.3833,0.4727,0.5168,0.8143,0.632,9.4768,-2.049,13.267,0.444,1.427,8.213
other,11,1.1411,0.1798,0.2278,0.8596,0.262,9.5246,-0.156,5.816,0.436,1.397,7.133
punctuation,7,0.9614,0.1310,0.1801,0.7281,0.247,9.5439,-0.039,5.811,0.428,1.381,6.417
