sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
genre,2,60273.1766,4919.3437,51467.9995,7.1358,0.8347,0.0957
stone,2,55093.9080,4655.5453,46909.8857,7.0573,0.8419,0.0992
