sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
illumination,2,248.4428,14.0206,223.2813,9.5434,0.4337,0.0633
weight,2,274.0622,18.2038,242.2135,9.5401,0.4358,0.0739
