anchor,wavelet,n_examples,n_senses,cosine_separation,wavelet_separation,inter_wav,cross_wav
bank,haar,6,2,0.2219,0.2343,0.8372,0.6029
plant,haar,5,2,0.0582,0.0605,0.6460,0.5855
match,haar,5,3,0.2199,0.2234,0.6843,0.4610
bark,haar,4,2,0.1920,0.2064,0.8037,0.5973
light,haar,4,2,0.1020,0.1047,0.6932,0.5885
rock,haar,4,2,0.2267,0.2433,0.8407,0.5974
crane,haar,4,2,0.0893,0.0980,0.8713,0.7733
pen,haar,4,2,0.1300,0.1415,0.6259,0.4843
ship,haar,4,2,0.1805,0.1896,0.8197,0.6301
mouse,haar,4,2,0.1261,0.1425,0.8597,0.7171
