sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
genre,2,60273.1766,1916.6790,58356.4975,6.7218,0.8557,0.0329
stone,2,55093.9080,1770.5841,53323.3239,6.6682,0.8569,0.0332
