sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
sound,2,289.3717,19.5591,246.8584,9.5969,0.4094,0.0792
tree,2,272.0172,16.6635,232.8032,9.5921,0.4113,0.0722
