layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,6.30971,3.01341,3.29630,1.4188,7.1840,0.0000,0.5634,0.06601,0.5000
1,12,7.05194,3.26005,3.79189,1.2136,7.0614,0.0000,0.6036,0.05310,0.4714
2,12,6.82161,3.47401,3.34760,1.1037,6.9290,0.0000,0.6299,0.04533,0.4330
3,12,9.19704,4.62997,4.56707,1.0543,6.5861,0.0000,0.6999,0.03491,0.4930
4,12,8.16539,4.11415,4.05123,1.0694,6.6124,0.0000,0.6927,0.03361,0.4714
5,12,10.00866,6.93886,3.06980,2.5043,6.6056,0.0000,0.7016,0.03184,0.0000
