i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.5561,0.5434,9.5598,22.0711
0,2,factory,factory,Y,0.4568,0.4500,7.1202,14.8358
0,3,factory,factory,Y,0.7545,0.7478,6.2075,22.4009
0,4,factory,organism,N,0.5397,0.5282,7.9579,6.1599
1,2,organism,factory,N,0.6298,0.6193,2.4396,7.2353
1,3,organism,factory,N,0.6524,0.6447,3.3523,0.3298
1,4,organism,organism,Y,0.8244,0.8233,1.6019,15.9111
2,3,factory,factory,Y,0.5749,0.5630,0.9126,7.5651
2,4,factory,organism,N,0.6005,0.5951,0.8377,8.6759
3,4,factory,organism,N,0.5882,0.5822,1.7503,16.2410
