li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
3,7,1,2,0.7652,0.8210,0.9861,0.6997,0.0180
3,7,1,3,0.7793,0.7952,0.9915,0.7163,0.0311
3,7,1,4,0.7758,0.7771,0.9973,0.7174,0.0338
3,7,1,5,0.7259,0.7869,0.9997,0.6530,0.0189
3,7,1,6,0.6856,0.7140,0.9986,0.6090,0.0287
3,7,1,7,0.7892,0.7861,0.9994,0.7324,0.0306
3,7,1,8,0.7285,0.7482,0.9623,0.6645,0.0317
3,7,1,9,0.6912,0.7059,0.9324,0.6280,0.0417
3,7,1,10,0.6001,0.7816,0.9983,0.4798,0.0265
3,7,1,11,0.4690,0.6014,0.9403,0.3556,0.0359
3,7,2,0,0.8393,0.8524,0.9766,0.7911,0.0171
3,7,2,1,0.6779,0.6739,0.9843,0.6142,0.0468
3,7,2,2,0.7838,0.8211,0.9918,0.7346,0.0257
3,7,2,3,0.7566,0.8229,0.9939,0.6949,0.0143
3,7,2,4,0.7652,0.8491,0.9888,0.7039,0.0073
3,7,2,5,0.8220,0.8912,1.0000,0.7733,0.0071
3,7,2,6,0.7218,0.7365,0.9460,0.6597,0.0350
3,7,2,7,0.8482,0.8887,0.9876,0.8021,0.0220
3,7,2,8,0.7183,0.7464,0.9735,0.6499,0.0230
3,7,2,9,0.8873,0.9279,0.9987,0.8580,0.0144
3,7,2,10,0.8441,0.8662,0.9926,0.7973,0.0241
3,7,2,11,0.7235,0.7122,0.9641,0.6651,0.0447
3,7,3,0,0.6118,0.5968,0.9109,0.5559,0.0774
3,7,3,1,0.6951,0.7372,0.9418,0.6303,0.0350
3,7,3,2,0.7140,0.8132,0.9998,0.6428,0.0161
3,7,3,3,0.7450,0.7581,0.9266,0.6932,0.0358
3,7,3,4,0.6245,0.6070,0.9211,0.5674,0.0736
3,7,3,5,0.7135,0.7032,0.9981,0.6481,0.0336
3,7,3,6,0.7986,0.8471,0.9975,0.7446,0.0139
3,7,3,7,1.0000,1.0000,1.0000,1.0000,0.0000
3,7,3,8,0.8063,0.9068,0.9995,0.7538,0.0092
3,7,3,9,0.6760,0.7103,0.9485,0.6002,0.0261
3,7,3,10,0.7195,0.7158,0.9279,0.6629,0.0418
3,7,3,11,0.8358,0.8538,0.9991,0.7907,0.0119
3,7,4,0,0.6396,0.7054,0.8965,0.5711,0.0466
3,7,4,1,0.7326,0.7445,0.9596,0.6735,0.0277
3,7,4,2,0.6733,0.6691,0.9589,0.6115,0.0525
3,7,4,3,0.8587,0.8681,0.9987,0.8220,0.0177
3,7,4,4,0.6865,0.6785,0.9800,0.6254,0.0478
3,7,4,5,0.7173,0.6987,0.9158,0.6660,0.0502
3,7,4,6,0.7730,0.7523,0.9854,0.7181,0.0319
3,7,4,7,0.6400,0.7088,0.9831,0.5505,0.0193
3,7,4,8,0.6784,0.6569,0.9349,0.6205,0.0560
3,7,4,9,0.7504,0.7796,0.9943,0.6878,0.0178
3,7,4,10,0.6301,0.6140,0.9275,0.5715,0.0691
3,7,4,11,0.7004,0.7802,0.8998,0.6633,0.0794
3,7,5,0,0.6288,0.6124,0.9200,0.5728,0.0731
3,7,5,1,0.6092,0.5848,0.9064,0.5551,0.0796
3,7,5,2,0.7265,0.7391,0.9584,0.6675,0.0316
3,7,5,3,0.7835,0.8170,0.9951,0.7197,0.0169
3,7,5,4,0.7757,0.7816,0.9716,0.7184,0.0139
3,7,5,5,0.6230,0.6015,0.9138,0.5686,0.0769
3,7,5,6,0.7277,0.6861,0.9204,0.6843,0.0606
3,7,5,7,0.7140,0.7453,0.9316,0.6543,0.0357
3,7,5,8,0.6808,0.6643,0.9309,0.6246,0.0567
3,7,5,9,0.6457,0.6180,0.9252,0.5903,0.0701
3,7,5,10,0.8071,0.8210,0.9811,0.7668,0.0350
3,7,5,11,0.7176,0.7230,0.9760,0.6566,0.0375
3,7,6,0,0.7599,0.7744,0.9983,0.7010,0.0201
3,7,6,1,0.6819,0.6531,0.9403,0.6264,0.0552
3,7,6,2,0.6655,0.6429,0.9301,0.6075,0.0617
3,7,6,3,0.7353,0.7157,0.9660,0.6774,0.0346
3,7,6,4,0.7132,0.7683,0.9972,0.6443,0.0232
3,7,6,5,0.7353,0.7137,0.9708,0.6781,0.0408
3,7,6,6,0.6616,0.6465,0.9387,0.6030,0.0596
3,7,6,7,0.7849,0.7899,0.9824,0.7353,0.0295
3,7,6,8,0.7684,0.7753,0.9589,0.7176,0.0304
3,7,6,9,0.6097,0.5846,0.9075,0.5555,0.0798
3,7,6,10,0.6245,0.6021,0.9177,0.5680,0.0740
3,7,6,11,0.7315,0.7514,0.9767,0.6692,0.0290
3,7,7,0,0.7490,0.7534,0.9370,0.6998,0.0401
3,7,7,1,0.6177,0.5984,0.9172,0.5619,0.0763
3,7,7,2,0.6087,0.5827,0.9052,0.5547,0.0799
3,7,7,3,0.7935,0.7996,0.9998,0.7425,0.0257
3,7,7,4,0.6958,0.6997,0.9459,0.6360,0.0395
3,7,7,5,0.6748,0.6532,0.9374,0.6174,0.0565
3,7,7,6,0.6674,0.6477,0.9537,0.6098,0.0589
3,7,7,7,0.6528,0.6171,0.9145,0.5991,0.0698
3,7,7,8,0.7193,0.7255,0.9525,0.6580,0.0336
3,7,7,9,0.7061,0.7037,0.9656,0.6469,0.0420
3,7,7,10,0.6128,0.5912,0.9128,0.5582,0.0786
3,7,7,11,0.6272,0.6123,0.9222,0.5713,0.0735
3,7,8,0,0.6585,0.6476,0.9281,0.6004,0.0607
3,7,8,1,0.6277,0.5995,0.9099,0.5739,0.0757
3,7,8,2,0.7501,0.7406,0.9912,0.6924,0.0346
3,7,8,3,0.6758,0.6619,0.9284,0.6188,0.0564
3,7,8,4,0.7053,0.7267,0.9450,0.6461,0.0415
3,7,8,5,0.7515,0.7721,0.9996,0.6911,0.0222
3,7,8,6,0.7090,0.6617,0.9258,0.6621,0.0593
3,7,8,7,0.6881,0.7323,0.9210,0.6287,0.0437
3,7,8,8,0.8019,0.7748,0.9909,0.7584,0.0302
3,7,8,9,0.7229,0.7064,0.9475,0.6672,0.0442
3,7,8,10,0.7185,0.7010,0.9752,0.6604,0.0421
3,7,8,11,0.6342,0.6084,0.9360,0.5780,0.0714
3,7,9,0,0.6696,0.6787,0.9838,0.6105,0.0529
3,7,9,1,0.6308,0.6066,0.9103,0.5762,0.0740
3,7,9,2,0.6929,0.6842,0.9778,0.6367,0.0483
3,7,9,3,0.7701,0.7891,0.9683,0.7200,0.0319
3,7,9,4,0.6422,0.6157,0.9259,0.5854,0.0673
3,7,9,5,0.6679,0.6709,0.9844,0.6063,0.0501
3,7,9,6,0.6167,0.5949,0.9151,0.5621,0.0778
3,7,9,7,0.7622,0.7388,0.9910,0.7089,0.0298
3,7,9,8,0.6376,0.6461,0.9671,0.5781,0.0628
3,7,9,9,0.6159,0.5946,0.9155,0.5611,0.0777
3,7,9,10,0.7008,0.7410,0.9300,0.6405,0.0362
3,7,9,11,0.6162,0.5932,0.9132,0.5612,0.0777
3,7,10,0,0.6358,0.6174,0.9385,0.5799,0.0707
3,7,10,1,0.6359,0.6171,0.9149,0.5822,0.0735
3,7,10,2,0.6249,0.6019,0.9229,0.5689,0.0741
3,7,10,3,0.6622,0.6565,0.9476,0.6034,0.0585
3,7,10,4,0.7254,0.7416,0.9975,0.6645,0.0281
3,7,10,5,0.6503,0.6907,0.9444,0.5830,0.0417
3,7,10,6,0.6832,0.6820,0.9620,0.6255,0.0506
3,7,10,7,0.6892,0.6850,0.9806,0.6294,0.0449
3,7,10,8,0.6171,0.5962,0.9167,0.5616,0.0770
3,7,10,9,0.7222,0.7558,0.9592,0.6615,0.0290
3,7,10,10,0.6236,0.5966,0.9171,0.5687,0.0761
3,7,10,11,0.6571,0.6725,0.9222,0.5976,0.0560
3,7,11,0,0.7600,0.7903,0.9266,0.6832,0.0281
3,7,11,1,0.7098,0.6967,0.9889,0.6487,0.0424
3,7,11,2,0.6375,0.6135,0.9314,0.5811,0.0699
3,7,11,3,0.7481,0.7468,0.9998,0.6902,0.0282
3,7,11,4,0.6846,0.6783,0.9740,0.6226,0.0481
3,7,11,5,0.6440,0.6255,0.9234,0.5875,0.0674
