i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.9948,0.9947,555.0449,17772.9858
0,2,money,money,Y,0.9988,0.9985,199.6992,6099.5510
0,3,money,river,N,0.9977,0.9972,81.6720,678.9135
0,4,money,money,Y,0.9965,0.9962,263.3372,6027.7549
0,5,money,river,N,0.9965,0.9961,256.3312,9353.8702
1,2,river,money,N,0.9963,0.9962,754.7441,23872.5368
1,3,river,river,Y,0.9950,0.9949,636.7169,18451.8993
1,4,river,money,N,0.9868,0.9871,818.3821,23800.7407
1,5,river,river,Y,0.9990,0.9989,298.7137,8419.1156
2,3,money,river,N,0.9976,0.9971,118.0272,5420.6375
2,4,money,money,Y,0.9951,0.9950,63.6380,71.7961
2,5,money,river,N,0.9977,0.9975,456.0304,15453.4212
3,4,river,money,N,0.9952,0.9947,181.6652,5348.8413
3,5,river,river,Y,0.9972,0.9968,338.0032,10032.7837
4,5,money,river,N,0.9909,0.9908,519.6684,15381.6250
