sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
sound,2,53781.2846,7149.2142,46632.0704,7.0847,0.8419,0.1533
tree,2,55155.5811,7430.6990,47724.8822,7.1131,0.8343,0.1557
