i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.5561,0.5434,7.4401,29.5692
0,2,factory,factory,Y,0.4568,0.4500,4.6381,23.2967
0,3,factory,factory,Y,0.7545,0.7478,3.1200,26.6329
0,4,factory,organism,N,0.5397,0.5282,4.4185,13.8155
1,2,organism,factory,N,0.6298,0.6193,2.8020,6.2725
1,3,organism,factory,N,0.6524,0.6447,4.3202,2.9363
1,4,organism,organism,Y,0.8244,0.8233,3.0217,15.7537
2,3,factory,factory,Y,0.5749,0.5630,1.5181,3.3362
2,4,factory,organism,N,0.6005,0.5951,0.2196,9.4812
3,4,factory,organism,N,0.5882,0.5822,1.2985,12.8174
