sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
factory,3,148.6270,7.9298,140.6972,9.5541,0.4265,0.0558
organism,2,140.2346,4.5866,135.6480,9.5364,0.4330,0.0333
