sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
money,3,63176.8989,3123.6795,56411.2812,7.2507,0.8429,0.0554
river,3,49920.9027,2466.7880,44689.1402,7.2988,0.8350,0.0552
