i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.9948,0.9947,925.1725,16285.6022
0,2,money,money,Y,0.9988,0.9985,289.8727,5637.6270
0,3,money,river,N,0.9977,0.9972,36.2467,856.3237
0,4,money,money,Y,0.9965,0.9962,329.4342,5523.0732
0,5,money,river,N,0.9965,0.9961,462.4419,8576.4443
1,2,river,money,N,0.9963,0.9962,1215.0452,21923.2291
1,3,river,river,Y,0.9950,0.9949,961.4192,17141.9259
1,4,river,money,N,0.9868,0.9871,1254.6066,21808.6754
1,5,river,river,Y,0.9990,0.9989,462.7305,7709.1578
2,3,money,river,N,0.9976,0.9971,253.6260,4781.3033
2,4,money,money,Y,0.9951,0.9950,39.5615,114.5538
2,5,money,river,N,0.9977,0.9975,752.3147,14214.0713
3,4,river,money,N,0.9952,0.9947,293.1875,4666.7495
3,5,river,river,Y,0.9972,0.9968,498.6887,9432.7680
4,5,money,river,N,0.9909,0.9908,791.8761,14099.5175
