layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.64769,4.06519,0.58249,27.2764,6.9581,1.2440,0.6011,0.05812,1.8856
1,12,5.97139,5.22339,0.74800,8.5163,6.6100,1.4223,0.6755,0.04458,1.4907
2,12,7.64074,6.80759,0.83315,8.6636,6.6494,1.3854,0.6777,0.04212,1.1055
3,12,5.42463,4.78021,0.64441,8.2451,6.8381,1.4386,0.6489,0.04275,1.4907
4,12,7.38475,6.31635,1.06841,8.5108,6.5787,1.4562,0.7015,0.03409,0.0000
5,12,8.59970,7.22037,1.37933,5.5797,6.2614,1.5579,0.7536,0.02322,0.0000
6,12,8.41059,7.20168,1.20891,6.1043,6.4489,1.5194,0.7358,0.02011,0.0000
7,12,9.27364,7.56144,1.71220,5.1798,6.2225,1.5562,0.7566,0.01837,0.0000
8,12,7.57606,6.32268,1.25339,5.8643,6.4112,1.5758,0.7224,0.02926,1.1055
9,12,6.76561,5.71785,1.04776,6.6697,6.4417,1.5156,0.7091,0.03794,0.0000
10,12,10.80596,7.08659,3.71937,2.4361,6.3560,1.5990,0.7302,0.03341,1.5184
11,12,8.89493,4.80578,4.08915,1.3647,5.9450,1.7876,0.7902,0.01612,0.9860
