i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,machine,bird,N,0.8275,0.8125,0.4045,18.2218
0,2,machine,machine,Y,0.8874,0.8791,1.6304,17.6858
0,3,machine,bird,N,0.7501,0.7318,1.9843,30.7935
1,2,bird,machine,N,0.8282,0.8103,2.0350,0.5359
1,3,bird,bird,Y,0.8737,0.8635,2.3888,12.5718
2,3,machine,bird,N,0.7592,0.7386,0.3538,13.1077
