layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.37649,6.73908,4.63740,2.9731,6.7831,0.0000,0.6667,0.03152,0.4330
1,12,9.49463,6.22352,3.27112,2.3113,6.5623,0.0000,0.7085,0.02349,0.2764
2,12,9.48733,6.45946,3.02786,2.3191,6.6553,0.0000,0.6869,0.02825,0.0000
3,12,10.78495,7.08514,3.69982,1.9706,6.5349,0.0000,0.7045,0.02747,0.0000
4,12,12.49453,7.61442,4.88011,2.0585,6.4272,0.0000,0.7242,0.02690,0.2764
5,12,11.62908,8.16383,3.46525,2.6672,6.0753,0.0000,0.7801,0.01170,0.0000
6,12,11.08030,7.64185,3.43845,2.3342,6.1764,0.0000,0.7684,0.01333,0.0000
7,12,13.03213,8.78035,4.25178,2.1008,5.8143,0.0000,0.8190,0.00790,0.0000
8,12,11.45010,7.76770,3.68239,2.2460,6.1449,0.0000,0.7745,0.01283,0.0000
9,12,13.57848,8.97145,4.60703,1.9667,5.7338,0.0000,0.8278,0.00604,0.0000
10,12,13.88887,9.18774,4.70113,1.9722,5.6897,0.0000,0.8355,0.00462,0.0000
11,12,11.92633,8.10585,3.82048,2.2098,6.0034,0.0000,0.7868,0.01222,0.0000
