sense,n_examples,E_total,E_low,E_high,entropy,gini,E_low/high
animal,2,320.5009,36.8509,283.6500,9.5500,0.4330,0.1298
device,2,353.6867,50.5793,303.1075,9.5901,0.4152,0.1674
