predictor,pearson_r,spearman_rho,kendall_tau,aggregate_kl,aggregate_cosine
wavelet,-0.0441,-0.0478,-0.0317,0.00497,0.00004
wavelet_entropy,-0.1518,-0.1600,-0.1000,0.00497,0.00004
attention_entropy,-0.1518,-0.1600,-0.1000,0.00497,0.00004
attention_entropy_true,-0.1378,-0.1693,-0.1152,0.00497,0.00004
attention_weight,+0.1884,+0.1830,+0.1263,0.00497,0.00004
magnitude,+0.1585,+0.1754,+0.1228,0.00497,0.00004
random,-0.0230,-0.0383,-0.0235,0.00497,0.00004
