category,n,E_total,E_approx,E_low,E_high,E_low/high,entropy,skewness,kurtosis,gini,compression_ratio,info_score
special,5,2.5470,0.2175,0.3525,2.0628,0.206,9.2072,-1.031,29.151,0.526,1.704,10.856
adjective,10,2.2049,0.7254,0.8107,1.3027,0.622,9.4782,-1.985,12.737,0.446,1.427,10.953
noun,10,1.9062,0.4980,0.5779,1.2349,0.461,9.5104,-1.367,7.552,0.438,1.406,10.070
verb,11,1.7372,0.3969,0.4769,1.1877,0.392,9.5008,-1.211,6.554,0.444,1.414,9.467
number,4,1.6070,0.5586,0.6094,0.9381,0.639,9.4429,-2.222,13.907,0.458,1.456,8.995
subword,2,1.6009,0.3948,0.4865,1.0480,0.465,9.4707,-1.335,7.899,0.455,1.438,9.052
other,11,1.3548,0.2189,0.2900,0.9988,0.267,9.4465,-0.763,9.451,0.462,1.446,7.944
punctuation,7,1.1918,0.1371,0.2009,0.9276,0.217,9.4629,-0.498,9.180,0.458,1.444,7.422
