layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,3,4,5,3
0,1,1,3,2,3
0,2,5,0,3,5
0,3,2,5,0,4
0,4,1,4,5,4
0,5,1,3,2,5
0,6,1,3,2,3
0,7,1,3,2,3
0,8,2,5,1,3
0,9,2,0,3,3
0,10,5,0,3,2
0,11,1,3,2,3
1,0,5,0,3,2
1,1,2,5,1,3
1,2,2,5,1,3
1,3,2,5,5,3
1,4,1,3,2,4
1,5,1,4,5,3
1,6,1,3,2,5
1,7,3,4,5,3
1,8,1,3,2,4
1,9,5,0,3,2
1,10,1,3,2,3
1,11,2,5,1,3
2,0,2,0,1,0
2,1,1,4,5,4
2,2,2,5,1,4
2,3,4,2,4,3
2,4,1,3,2,4
2,5,2,0,3,1
2,6,2,0,1,3
2,7,0,0,3,0
2,8,2,5,1,3
2,9,2,3,5,3
2,10,2,5,1,5
2,11,2,0,3,1
3,0,2,5,1,5
3,1,2,0,1,1
3,2,0,1,0,3
3,3,0,1,0,0
3,4,5,0,3,0
3,5,1,3,2,4
3,6,4,2,4,3
3,7,4,2,4,3
3,8,0,5,0,3
3,9,0,1,0,3
3,10,5,0,3,1
3,11,0,1,0,0
4,0,0,1,0,3
4,1,0,1,0,5
4,2,2,5,5,5
4,3,0,1,0,3
4,4,4,2,4,3
4,5,1,3,2,5
4,6,4,2,4,3
4,7,0,1,0,5
4,8,2,5,5,5
4,9,4,2,4,3
4,10,2,5,1,3
4,11,3,4,5,3
5,0,4,2,4,3
5,1,0,1,0,3
5,2,3,1,0,3
5,3,0,1,0,3
5,4,4,2,4,3
5,5,0,1,0,3
5,6,3,1,0,3
5,7,4,2,4,3
5,8,2,5,5,3
5,9,3,4,5,3
5,10,0,1,0,3
5,11,4,2,4,3
