layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,4.38026,3.85085,0.52942,19.2287,6.9725,1.3499,0.5986,0.05584,1.9720
1,12,5.84878,5.16911,0.67967,10.5082,6.7100,1.3988,0.6549,0.05014,1.7321
2,12,7.91880,7.07981,0.83899,9.3535,6.7631,1.3534,0.6556,0.05020,0.0000
3,12,5.93851,5.31706,0.62146,10.0564,6.8621,1.3506,0.6417,0.04815,1.1055
4,12,7.73030,6.57434,1.15596,6.5218,6.4759,1.4933,0.7186,0.03203,0.0000
5,12,9.24703,7.76352,1.48351,5.4643,6.2276,1.5437,0.7585,0.02429,0.0000
6,12,8.61667,7.41075,1.20593,6.5163,6.4805,1.4675,0.7271,0.02913,0.0000
7,12,9.49889,7.83278,1.66611,5.5804,6.1922,1.5476,0.7555,0.02344,0.0000
8,12,7.48229,6.31688,1.16542,7.1079,6.4100,1.5285,0.7194,0.03563,1.1055
9,12,7.10745,5.91458,1.19287,5.5943,6.3437,1.5742,0.7247,0.03702,1.1055
10,12,12.57488,7.97448,4.60041,2.4525,6.1326,1.5635,0.7590,0.02807,1.1902
11,12,9.21154,4.78135,4.43019,1.2131,5.7787,1.7843,0.8069,0.01661,0.9860
